"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000072682",1156.07651991461,1.4733587874892,0.131477295575857,11.2061841630986,3.80234621736637e-29,3.65394909416083e-27
"ENSG00000129657",1159.83595790173,1.46997608804908,0.131801792582713,11.1529294044054,6.92870652075422e-29,6.61237522994462e-27
"ENSG00000212907",53639.1511829995,-1.13185571664286,0.102249179947682,-11.069582340142,1.76219979613877e-28,1.67022745061427e-26
"ENSG00000113083",215.650372053161,2.54996456020664,0.23045451585308,11.0649363965265,1.85594495668246e-28,1.74711335446067e-26
"ENSG00000213918",1385.47418415619,1.45182142179342,0.131426062511227,11.0466782162739,2.27476870098661e-28,2.12690873542248e-26
"ENSG00000141179",824.661225480084,1.52522307214743,0.138551258259735,11.0083668044946,3.48259455617132e-28,3.23437204485226e-26
"ENSG00000198842",188.415411164267,-2.73305551891385,0.248798005101872,-10.9850379137678,4.51049170407662e-28,4.16107894673416e-26
"ENSG00000013441",4152.35927703819,1.32447758845973,0.120640987476782,10.9786699873841,4.83996954903442e-28,4.43546348473764e-26
"ENSG00000167751",25120.4398681879,1.12686261858189,0.103108770334249,10.92887263546,8.38840653117658e-28,7.6367611564751e-26
"ENSG00000083444",6486.3664062834,1.28951463509014,0.118123604486743,10.9166549792752,9.59653110808948e-28,8.67952924664982e-26
"ENSG00000103540",2017.46128671537,1.55508528917884,0.14251639631207,10.911623710816,1.01428315810969e-27,9.11405866358562e-26
"ENSG00000120885",480.758371675861,1.78759965055618,0.163842428430164,10.9104806836901,1.02711798947836e-27,9.16984434735579e-26
"ENSG00000074800",30852.0410507647,1.36282308386198,0.125591182912592,10.8512640159657,1.96686286868257e-27,1.74470822928393e-25
"ENSG00000116285",2113.33133608572,1.25339125463411,0.115815768749952,10.8222849803829,2.6996159399162e-27,2.37944492844333e-25
"ENSG00000155850",1141.19176696706,1.60093865588636,0.148082991758048,10.8110907058261,3.05021604009343e-27,2.67144870650715e-25
"ENSG00000122085",4244.28884496543,1.16733629800214,0.108283834899564,10.7803376107327,4.26318177145762e-27,3.7103087643667e-25
"ENSG00000092964",767.069925198778,1.79466167300899,0.1667739567688,10.7610427178204,5.25719115839549e-27,4.54681320311729e-25
"ENSG00000079819",691.494972357735,1.568024602948,0.146295705638968,10.7181861292471,8.36272445424166e-27,7.18778763961466e-25
"ENSG00000132872",2218.34340956822,1.27995606700249,0.119661051517905,10.6965136171395,1.05679903336915e-26,9.02715124923601e-25
"ENSG00000105879",3031.3294739679,1.18616040081305,0.111129350831247,10.6736914410151,1.35148213028988e-26,1.14735028950622e-24
"ENSG00000169047",248.235838865303,2.24802598285609,0.212367817016638,10.5855303992693,3.4780531036137e-26,2.93471334437844e-24
"ENSG00000073910",709.161547965654,1.49911351558647,0.141981332225303,10.558525491278,4.63891226108285e-26,3.89050108296148e-24
"ENSG00000256683",2167.19175008188,1.49279174290988,0.141886009759498,10.5210636724524,6.90891650215406e-26,5.75937268414505e-24
"ENSG00000187474",77.6822216433827,5.67564910280185,0.540957415408027,10.4918593241224,9.41570105295655e-26,7.80206414196484e-24
"ENSG00000083642",4214.63245421028,1.25328326294399,0.119555814608211,10.4828298569253,1.03596634700911e-25,8.48266408870535e-24
"ENSG00000109654",226.679211185502,2.40246583419712,0.229172189681582,10.4832346260477,1.03154070309688e-25,8.48266408870535e-24
