"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000149716",504.497453109937,490.103482585283,480.911807688938,487.088213988036,267.252113228573,224.695258287607,358.141859157966,356.098971262373
"ENSG00000149735",2.7448174815557,6.70063355097067,4.94087473653019,9.2068879331672,0,0,0,2.23961617146146
"ENSG00000149742",0,0.478616682212191,0,0.876846469825448,0,0,0,0
"ENSG00000149743",253.072171799435,246.96620802149,170.73467145121,192.467800126686,200.43908492143,228.261849688998,176.086414086,180.289101802648
"ENSG00000149761",164.140085397031,144.063621345869,121.874910167745,145.994937225937,173.965998233694,203.295709879263,250.699301410576,190.367374574225
"ENSG00000149781",37.8784812454686,44.0327347635215,27.4493040918344,35.5122820279306,66.8130283071433,39.2325054152964,62.6748253526441,44.7923234292293
"ENSG00000149782",551.708313792695,555.195351366141,417.229422195883,412.994687287786,1021.10477224125,1005.77877519215,922.215287331763,819.699518754896
"ENSG00000149792",2356.15132616741,2604.63198459874,2978.79848004587,2813.80032166986,2184.65996332603,2250.51917427746,2536.83816903559,2852.15119435618
"ENSG00000149798",0,0,0,0.438423234912724,3.78186952681943,3.56659140139059,5.9690309859661,3.3594242571922
"ENSG00000149806",1642.49878096293,1715.8408057307,2249.19597728491,2934.80513450577,1287.09626229421,1316.07222711313,1745.94156339509,1851.0427657129
"ENSG00000149809",408.977804751799,426.447463851062,982.136100405834,1684.42206853468,197.917838570217,238.961623893169,474.537963384305,384.094173405641
"ENSG00000149823",545.669715333273,528.871433844471,440.83582371486,601.95510153517,441.218111462267,424.42437676548,525.274726765017,519.59095177906
"ENSG00000149922",96.6175753507605,82.800686022709,32.3901788283646,28.9359335042398,15.1274781072777,35.6659140139059,14.9225774649153,27.9952021432683
"ENSG00000149923",843.20793033391,844.279827422304,737.288307906672,922.004063021458,922.776164543941,913.04739875599,1292.29520846166,1025.74420652935
"ENSG00000149925",5444.61995641388,4876.62537506001,985.430016896854,1124.11717431622,1169.85830696281,1423.06996915484,859.540461979119,595.73790160875
"ENSG00000149926",17.0178683856453,17.2302005596389,8.783777309387,10.5221576379054,2.52124635121295,10.6997742041718,14.9225774649153,16.797121285961
"ENSG00000149927",82.893487942982,66.0491021452823,90.5827035030535,104.344729909228,73.1161441851757,78.4650108305929,119.380619719322,123.178889430381
"ENSG00000149929",2338.58449428545,2217.90970537129,1889.61009368188,1870.75194337259,139.929172492319,89.1647850347646,182.055445071966,137.73639454488
"ENSG00000149930",2164.01410245851,2108.3064851447,1819.33987520678,1946.16073977758,2040.94892130689,2068.62301280654,2056.33117466532,2124.2759386312
"ENSG00000149932",609.349480905365,649.961454444155,647.254590485455,849.225806025946,102.110477224125,124.830699048671,119.380619719322,96.303495372843
"ENSG00000149948",0,0,0,0,2092.63447150675,2068.62301280654,1307.21778592658,1378.48375353453
"ENSG00000149968",0,0.478616682212191,0,0,1.26062317560648,0,2.98451549298305,2.23961617146146
"ENSG00000149970",282.716200600237,291.956176149436,221.241390980185,167.477675736661,225.651548433559,203.295709879263,229.807692959695,209.404112031647
"ENSG00000149972",24.7033573340013,19.6232839706998,58.7415107565256,60.5024064179559,0,0,2.98451549298305,2.23961617146146
"ENSG00000150045",0,0,3.84290257285681,1.7536929396509,0,0,0,0
"ENSG00000150048",23.0564668450678,23.9308341106095,15.3716102914273,10.9605808728181,0,0,0,0
"ENSG00000150051",0,0,0,0.438423234912724,46.6430574974397,17.8329570069529,59.690309859661,63.8290608866518
"ENSG00000150054",321.143645342016,302.007126475892,360.683855766704,324.871617070328,640.39657320809,542.121893011369,543.181819722915,528.549416464906
"ENSG00000150093",17347.246483432,17350.3333468741,11691.7565848759,10075.4043615293,97819.3159343602,89171.9182175674,59570.9292399417,60920.919288009
"ENSG00000150244",9.88134293360051,9.57233364424381,2.19594432734675,0.876846469825448,0,0,0,0
"ENSG00000150275",1.09792699262228,0.957233364424381,4.3918886546935,2.63053940947634,18.9093476340972,10.6997742041718,2.98451549298305,2.23961617146146
"ENSG00000150281",2.19585398524456,0,2.19594432734675,3.50738587930179,47.9036806730461,78.4650108305929,56.705794366678,66.0686770581132
"ENSG00000150316",870.656105149467,809.819426303027,1074.91474823623,1066.24530730774,615.184109695961,488.62302199051,596.90309859661,569.982315636943
"ENSG00000150337",3.84274447417797,7.17925023318286,8.23479122755032,5.69950205386541,0,3.56659140139059,0,0
"ENSG00000150347",2117.35220527206,2307.41102494497,1448.22528388518,1325.79186237608,2512.42198898371,2279.05190548858,2175.71179438464,2329.20081831992
"ENSG00000150361",537.984226384916,581.040652205599,1363.1324412005,1130.255099605,0,0,0,2.23961617146146
"ENSG00000150394",11.5282334225339,10.050950326456,11.5287077185704,3.50738587930179,119.759201682615,114.130924844499,92.5199802824746,98.5431115443045
"ENSG00000150401",418.310184189088,419.268213617879,322.254830038136,268.7534430015,273.555229106606,238.961623893169,122.365135212305,178.049485631186
"ENSG00000150403",1513.49235932981,1482.27586481115,2262.37164324899,2311.36729445988,2071.20387752144,1983.02481917317,1444.5054986038,1462.46935996434
"ENSG00000150433",464.972081375535,516.906016789166,869.044967547477,707.615101149136,339.107634238142,403.024828357136,423.801200003593,413.20918363464
